Altium Designer Pick and Place Locations
C:\Users\hdway\Documents\altium\ESP32-C3-SII\Project Outputs for esp32c3-haptic-motor-controller\2025-04-27\Pick Place for ESP32-C3_V1(Prototype).csv

========================================================================================================================
File Design Information:

Date:       27/04/25
Time:       15:31
Revision:   f8aa496589c3ec6a2acd9a44eceb4d2b919dbc2e
Variant:    Prototype
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R21","10K","TopLayer","RES_0402","56.5000","18.8750","90","RES SMD 10K OHM 1% 1/16W 0402"
"J1","TYPE-C-31-M-12","TopLayer","TYPE-C-31-M-12","78.8750","12.0000","90","USB Type C Connector Horizontal SMT"
"U11","DRV2605LDGSR","TopLayer","FP-DGS0010A-IPC_B","35.0000","13.2500","270","IC MOTOR DRIVER 2V-5.5V 10VSSOP"
"D2","AQ3045-01ETG","TopLayer","SP353001ETG","72.5000","12.4000","270","TVS DIODE 5.3VWM 12VC SOD882"
"D3","AQ3045-01ETG","TopLayer","SP353001ETG","72.5000","10.5000","90","TVS DIODE 5.3VWM 12VC SOD882"
"SW1","KMR221GLFS","TopLayer","FP-KMR221GLFS-MFG","71.0000","34.8125","0","SWITCH TACTILE SPST-NO 0.05A 32V"
"SW2","KMR221GLFS","TopLayer","FP-KMR221GLFS-MFG","71.0000","30.8125","0","SWITCH TACTILE SPST-NO 0.05A 32V"
"Q3","DMP2045U-7","TopLayer","SOT96P240X115-3N","31.5000","23.7500","180","MOSFET P-CH 20V 4.3A SOT23"
"D10","40V 1A","TopLayer","FP-SOD123-IPC_B","35.5000","22.7500","270","DIODE SCHOTTKY 40V 1A SOD123"
"U9","MCP73831T-2ACI/OT","TopLayer","FP-C04-091-OT-IPC_B","33.0000","30.5000","0","IC BATT CNTL LI-ION 1CEL SOT23-5"
"D9","GREEN","TopLayer","LED_0603_GREEN","21.0000","34.2500","90","LED GREEN CLEAR 0603 SMD"
